ID,User,Date,Tweet
1338243377662484485,Mitchell_Phipps,2020-12-13 22:04:19,@mizkris18 Refs have been bad across CBB all year
1338243377658122241,CarlsonSid,2020-12-13 22:04:19,@iheartmindy I think you outdid yourself already mindy...you're just a crotch sniffer like the rest of them ...not… https://t.co/crO8nSCXCi
1338243377654091777,ramniiks,2020-12-13 22:04:19,listen. too many brands are selling sweatpants for $125 lol get a grip
1338243377654009856,chavabell,2020-12-13 22:04:19,RT @jlhbrain: Secure men do not feel emasculated by smart women. They walk with us instead of tearing us down.
1338243377649889281,lorenaaribas,2020-12-13 22:04:19,@anazenhamk Adore You
1338243377649885189,j_shanpluto,2020-12-13 22:04:19,"@messypatron 😬😬😬😬 no, why 🤤"
1338243377649700864,NebulousFantasy,2020-12-13 22:04:19,Found the Flaming Crotch Man who was screaming in my car as I transported to the Ripperdocs. Love that @JesseCox  w… https://t.co/YsFiclqdjp
1338243377641508864,Lisa36526274,2020-12-13 22:04:19,@WhiteHouse Yea you raced at turtle speed
1338243377641492480,zovinoise,2020-12-13 22:04:19,"@Zaidotoxin @Spinalpalm The tl;dr, afaik, is that there was some sort of beef that ejected a rapper from an influen… https://t.co/MGRhxcic0f"
1338243377637318657,jimv97268591,2020-12-13 22:04:19,"RT @ossoff: David Perdue opposes stimulus checks for Georgians because David Perdue doesn't care about Georgians.

For David to care about…"
1338243377637298176,ZARIYAK_,2020-12-13 22:04:19,"when I’m mad i do shit on purpose to make you mad, now look at us both pissed 😭"
1338243377637150720,wxfkep,2020-12-13 22:04:19,The fuck https://t.co/i6gU4GQBaR
1338243377633038340,IanSweeney1998,2020-12-13 22:04:19,"@AudreyNinjaYay Employee: May I help you?

Me: I'd like 20 nuggets, large fries, and a large cola with no ice"
1338243377628913665,LaadyOfSorrow,2020-12-13 22:04:19,RT @drankturpentine: a murderer snaps my neck but my body just slowly starts to turn neon green
1338243377628897280,rv_fanart,2020-12-13 22:04:19,RT @seulsayshi: I’m about to 0FF myself rn 😃😃😃 this is taking way too long 😭😭😭 https://t.co/DUmvGCzUyv
1338243377628762112,DefranceJames,2020-12-13 22:04:19,@_DionneWarwick You’re a hero.  Always have been. Always will be. #ALLY #gaypride
1338243377624719362,poutysaudi,2020-12-13 22:04:19,"A shit house win. SPAL, Verona and now Parma. Spray the net and hope something lands between the sticks."
1338243377616326658,iamanthonyjames,2020-12-13 22:04:19,@maxw03 Oh ok. Well you probably racked up more than several dollars of debt getting you to that position also you… https://t.co/3hYGryi47O
1338243377616207874,FreeLantern,2020-12-13 22:04:19,"RT @UCNZ: The Paris Agreement for stopping climate change turned 5 this weekend, &amp; Prof @BMHayward joined the discussion on how we can ensu…"
1338243377612124163,cucumberenjoyer,2020-12-13 22:04:19,@kill_krue how are you doing?
1338243377612124160,nordstjarna,2020-12-13 22:04:19,"RT @nordstjarna: Edmonton Valley Zoo in Alberta, Canada: FREE LUCY!!! SEND HER TO A SANCTUARY, NOW!!!!! - Sign the Petition! https://t.co/6…"
1338243377612066816,BrianPHickey,2020-12-13 22:04:19,"@AMYGillard8 No it isn’t. Say, what shade of leather do you use for makeup?"
1338243377607942144,NKrbt,2020-12-13 22:04:19,RT @Harry_Styles: Fine Line is one year old. I couldn’t be more grateful for you all continually finding new ways to change my life. Thank…
1338243377607929859,ILove63300090,2020-12-13 22:04:19,"@vgguks97 @965TDY @BTS_twt Fake love

I followed @965TDY and I vote for #BTS (@BTS_twt) for #ArtistOfTheYear on #TDYAwards"
1338243377603731462,djkooper,2020-12-13 22:04:19,Just posted a photo @ Snap Fitness Sandgate https://t.co/2ZORLUto8R
1338243377599574016,CybrWasTaken,2020-12-13 22:04:19,"@bakadeww @ignEnglishPing Hey, 1 inch matters a lot. If you know what I mean"
1338243377599553542,ericareservatwo,2020-12-13 22:04:19,@harrysbrasil Cherry
1338243377599455234,joshlbransford,2020-12-13 22:04:19,@harrisonedingto Rlly controversial opinion but honestly i agree
1338243377599369218,lovemychocolat3,2020-12-13 22:04:19,@JanieRooker @ChipmanCurt @WestwoodLee you want communism
1338243377595346952,progynovadose,2020-12-13 22:04:19,"i'm gonna stop posting before i livestream a suicide attempt or something and go play on my switch. sorry, new foll… https://t.co/WJDHPUgwhZ"
1338243377586794496,DJPynchon,2020-12-13 22:04:19,RT @pornoqueer: a huge thank you to @AmberlyPSO for chatting to me for this! here’s everything you need to know about the moral crusade dri…
1338243377574404098,superTV247,2020-12-13 22:04:19,"@HausofDylan95 Sweet Melody had 3 live TV performances this month, Break up Song was robbed of that in lockdown 1.0! 🤣"
1338243377574404097,eazimm20,2020-12-13 22:04:19,Just here to say if you judge people who do things you don’t like and look down on them you aren’t a better Christi… https://t.co/zobNwToLqR
1338243377574326274,LonghornGlickst,2020-12-13 22:04:19,"RT @brianbeutler: After helping seed DC’s worst outbreak with a series of taxpayer funded champagne parties, they give themselves first dib…"
1338243377565986819,House_Dietz,2020-12-13 22:04:19,@MatthewBerryTMR Chris Godwin AND Noah Fant.........................
1338243377565982720,iPTF14hls,2020-12-13 22:04:19,RT @KHefferon: Chemistree https://t.co/6JRt4u5FFa
1338243377557594115,spartacuszorro,2020-12-13 22:04:19,@scottmelker but there’s no “bay” ... Texas housing is just an unlimited supply of landlocked McMansions near exoti… https://t.co/4LnTGGAsuC
1338243377557458944,versbttmrising,2020-12-13 22:04:19,Kelly Loeffler is dead behind the eyes.
1338243377549238274,edentanner_,2020-12-13 22:04:19,Spent so much money tonight on Christmas presents I feel sick
1338243377549225984,gmbremer,2020-12-13 22:04:19,@EricMyers31 Sounds about right.
1338243377549115392,DyingPheonix,2020-12-13 22:04:19,"RT @noellitas: Hey ABQ followers,

One of my former cheerleaders is missing and APD is asking for help finding her! If you see her or have…"
1338243377545011201,jerry_blizz,2020-12-13 22:04:19,@JohnOloruntoba3 @TONTOLET Yhu abi we? 😏 @TONTOLET
1338243377540816898,cherrywithkiwi,2020-12-13 22:04:19,@harrysbrasil cherry
1338243377532432385,tbslgmz,2020-12-13 22:04:19,oh my god when i suck him dry https://t.co/FXH8XTGn7U
1338243377528250375,resisthegop,2020-12-13 22:04:19,"RT @DearAuntCrabby: It's Dr. Jill Biden @DrBiden #DrJillBiden and don't you forget it.

Thank you very much.

BTW - that's a title that Mel…"
1338243377528250374,srablonde34,2020-12-13 22:04:19,@BethMooreLPM Thank you! These a true Christian words!
1338243377519792128,OluJade18,2020-12-13 22:04:19,@TexTheLaw What did you do?😂😂😂😂
1338243377515597824,ischyrithea,2020-12-13 22:04:19,LORRDD JESSSU HAVE MERCY M ABOUT TO BUUUUUUUUUSSTTTT https://t.co/FaWAurz8NW
1338243377515569152,p0gch4mp_,2020-12-13 22:04:19,meow meow meow meow meow meowmeowmeowmrowmrow
1338243377507274757,Seabiscuit_62,2020-12-13 22:04:19,Omg Smith why you playing like trash???
1338243377502941185,2010hattie,2020-12-13 22:04:19,"RT @nytimes: White House staff members are scheduled to receive Pfizer's coronavirus vaccine, at a time when first doses are only being dis…"
1338243377498906625,bxpsfan,2020-12-13 22:04:19,@watanabe_takami now this is character development
1338243377494716417,yourlocallenny,2020-12-13 22:04:19,@AwaJeon Would you 400k and a parasol If you have it?
1338243377494552576,asphodelmoon,2020-12-13 22:04:19,"@romacarmella I just do not understand what kick they get out of attacking a disabled person, triggering said disab… https://t.co/OxlbLI51NR"
1338243377490489347,a_sharma00,2020-12-13 22:04:19,"RT @TheDailyShow: To Americans pissed about U.S. corona rules, just take a look at Africa. https://t.co/dTzRbdunNg"
1338243377486307328,adeshinoh,2020-12-13 22:04:19,"Someone finally said it 🙄. Even married ladies sef go still dey compete, like... https://t.co/rdqIVlOtQh"
1338243377477849094,SingleCellMedia,2020-12-13 22:04:19,RT @XunWang8: Nice review to read over and over again: Concepts and limitations for learning developmental trajectories from single cell ge…
1338243377469534208,younlvt,2020-12-13 22:04:19,@chartdata @selenagomez without proper promo
